Chromosome	Start	End	#mCpN	#Diff.CpN	Mean_Difference	set1	set2
18	4433878	4436120	14	6	-14.4	[43.6,44.7,44.4]	[30.8,31.9,26.6]
18	7363440	7364538	13	5	13.5	[30.6,32.1,32.5]	[44.8,45.1,45.3]
18	12008559	12009900	18	9	11.5	[37.6,36.8,37.2]	[48.6,48.5,49.1]
18	12010536	12014168	69	33	11.7	[35.3,37.3,36.2]	[48.0,47.7,48.2]
18	12015212	12016376	14	5	11.8	[36.7,34.9,32.6]	[46.6,47.3,46.6]
18	28550725	28553422	18	9	-13.3	[41.2,41.3,41.0]	[29.8,29.1,24.0]
18	34809194	34811691	14	7	14.0	[31.1,32.3,31.9]	[44.9,47.1,45.3]
18	34853689	34855557	101	69	-22.1	[40.3,37.9,38.8]	[18.3,16.5,16.3]
18	45096361	45097421	11	5	11.4	[33.3,33.6,35.4]	[45.8,46.0,44.9]
18	49023513	49025314	10	5	-17.7	[48.0,47.0,45.4]	[26.6,26.6,33.9]
18	53021210	53022723	13	8	-18.6	[28.0,29.4,28.7]	[9.2,9.6,11.3]
18	69647347	69648794	10	4	-11.8	[46.7,46.5,45.4]	[35.7,35.0,32.9]
18	71602266	71611125	105	36	-12.4	[46.5,46.3,46.3]	[34.4,33.9,33.6]
18	73764127	73769265	106	59	15.4	[32.0,32.6,31.3]	[47.3,47.7,47.3]
18	73769587	73772173	46	18	13.3	[32.2,32.8,33.7]	[47.1,46.4,44.8]
