Pos Methylation_rate Methylation_state Metylation_type Theta
1:10468 0.79251 Methylated Normal 0
1:10470 0.793889 Methylated Normal 0
1:10483 0.802419 Methylated Normal 0
1:10488 0.805507 Methylated Normal 0
1:10492 0.807903 Methylated Normal 0
1:10496 0.810234 Methylated Normal 0
1:10524 0.824872 Methylated Normal 0
1:10541 0.832448 Methylated Normal 0
1:10562 0.840599 Methylated Normal 0
1:10570 0.843381 Methylated Normal 0
1:10576 0.845358 Methylated Normal 0
1:10578 0.845996 Methylated Normal 0
1:10588 0.849043 Methylated Normal 0
1:10608 0.854438 Methylated Normal 0
1:10616 0.856352 Methylated Normal 0
1:10619 0.857036 Methylated Normal 0
1:10630 0.859389 Methylated Normal 0
1:10632 0.859791 Methylated Normal 0
1:10635 0.860381 Methylated Normal 0
1:10637 0.860764 Methylated Normal 0
1:10640 0.861326 Methylated Normal 0
1:10643 0.861871 Methylated Normal 0
1:10649 0.862912 Methylated Normal 0
1:10659 0.864508 Methylated Normal 0
1:10661 0.864807 Methylated Normal 0
1:10664 0.865242 Methylated Normal 0
1:10666 0.865524 Methylated Normal 0
1:10669 0.865935 Methylated Normal 0
1:10672 0.866331 Methylated Normal 0
1:10678 0.86708 Methylated Normal 0
1:10688 0.868204 Methylated Normal 0
1:10690 0.868411 Methylated Normal 0
1:10693 0.86871 Methylated Normal 0
1:10695 0.868901 Methylated Normal 0
1:10698 0.869178 Methylated Normal 0
1:10701 0.869442 Methylated Normal 0
1:10707 0.86993 Methylated Normal 0
1:10717 0.870631 Methylated Normal 0
1:10719 0.870755 Methylated Normal 0
1:10722 0.870931 Methylated Normal 0
1:10724 0.871041 Methylated Normal 0
1:10727 0.871196 Methylated Normal 0
1:10730 0.87134 Methylated Normal 0
1:10736 0.871591 Methylated Normal 0
1:10746 0.871908 Methylated Normal 0
1:10748 0.871956 Methylated Normal 0
1:10751 0.872019 Methylated Normal 0
1:10753 0.872054 Methylated Normal 0
1:10756 0.872098 Methylated Normal 0
1:10759 0.872131 Methylated Normal 0
1:10765 0.872164 Methylated Normal 0
1:10775 0.872123 Methylated Normal 0
1:10777 0.872101 Methylated Normal 0
1:10780 0.872058 Methylated Normal 0
1:10782 0.872024 Methylated Normal 0
1:10785 0.871964 Methylated Normal 0
1:10788 0.871894 Methylated Normal 0
1:10794 0.871722 Methylated Normal 0
1:10810 0.871063 Methylated Normal 0
1:10812 0.870961 Methylated Normal 0
1:10815 0.870799 Methylated Normal 0
1:10826 0.870119 Methylated Normal 0
1:10831 0.869766 Methylated Normal 0
1:10837 0.869307 Methylated Normal 0
1:10847 0.868455 Methylated Normal 0
1:10849 0.868271 Methylated Normal 0
1:10852 0.867988 Methylated Normal 0
1:10854 0.867794 Methylated Normal 0
1:10857 0.867495 Methylated Normal 0
1:10860 0.867186 Methylated Normal 0
1:10866 0.866539 Methylated Normal 0
1:10884 0.86437 Methylated Normal 0
1:10886 0.864107 Methylated Normal 0
1:10902 0.861858 Methylated Normal 0
1:10907 0.861099 Methylated Normal 0
1:10913 0.860154 Methylated Normal 0
1:10923 0.858495 Methylated Normal 0
1:10928 0.857626 Methylated Normal 0
1:10930 0.857271 Methylated Normal 0
1:10933 0.856731 Methylated Normal 0
1:10936 0.856181 Methylated Normal 0
1:10942 0.855053 Methylated Normal 0
1:10960 0.851356 Methylated Normal 0
1:10962 0.850912 Methylated Normal 0
1:10978 0.847127 Methylated Normal 0
1:10983 0.845861 Methylated Normal 0
1:10989 0.844289 Methylated Normal 0
1:10997 0.842105 Methylated Normal 0
1:11007 0.839238 Methylated Normal 0
1:11011 0.838049 Methylated Normal 0
1:11026 0.833381 Methylated Normal 0
1:11047 0.826308 Methylated Normal 0
1:11051 0.824892 Methylated Normal 0
1:11054 0.823817 Methylated Normal 0
1:11057 0.82273 Methylated Normal 0
1:11067 0.819024 Methylated Normal 0
1:11081 0.813631 Methylated Normal 0
1:11084 0.812446 Methylated Normal 0
1:11090 0.810046 Methylated Normal 0
1:11092 0.809237 Methylated Normal 0
1:11104 0.804298 Methylated Normal 0
1:11109 0.802198 Methylated Normal 0
1:11115 0.799648 Methylated Normal 0
1:11117 0.798791 Methylated Normal 0
1:11120 0.797499 Methylated Normal 0
1:11128 0.794019 Methylated Normal 0
1:11148 0.785121 Methylated Normal 0
1:11156 0.781498 Methylated Normal 0
1:11162 0.778762 Methylated Normal 0
1:11166 0.77693 Methylated Normal 0
1:11183 0.769098 Methylated Normal 0
1:11199 0.761701 Methylated Normal 0
1:11209 0.757091 Methylated Normal 0
1:11225 0.74978 Methylated Normal 0
1:11238 0.743937 Methylated Normal 0
1:11283 0.724912 Methylated Normal 0
1:11296 0.719917 Methylated Normal 0
1:11299 0.718805 Methylated Normal 0
1:11342 0.704882 Methylated Normal 0
1:11345 0.704072 Methylated Normal 0
1:11403 0.693588 Methylated Normal 0
1:11433 0.692551 Methylated Normal 0
1:11460 0.693688 Methylated Normal 0
1:11479 0.695509 Methylated Normal 0
1:11762 0.778992 Methylated Normal 0
1:11780 0.785258 Methylated Normal 0
1:11791 0.789015 Methylated Normal 0
1:11826 0.800515 Methylated Normal 0
1:11841 0.805193 Methylated Normal 0
1:11867 0.81289 Methylated Normal 0
1:11878 0.815975 Methylated Normal 0
1:11945 0.834347 Methylated Normal 0
1:11959 0.838393 Methylated Normal 0
1:12264 0.90818 Methylated Normal 0
1:12270 0.908864 Methylated Normal 0
1:12277 0.909621 Methylated Normal 0
1:12304 0.912115 Methylated Normal 0
1:12317 0.913071 Methylated Normal 0
1:12330 0.913864 Methylated Normal 0
1:12354 0.914887 Methylated Normal 0
1:12425 0.915016 Methylated Normal 0
1:12505 0.911446 Methylated Normal 0
1:12520 0.910367 Methylated Normal 0
1:12557 0.90716 Methylated Normal 0
1:12585 0.904216 Methylated Normal 0
1:12671 0.89235 Methylated Normal 0
1:12674 0.891858 Methylated Normal 0
1:12678 0.891193 Methylated Normal 0
1:12753 0.87697 Methylated Normal 0
1:12756 0.876332 Methylated Normal 0
1:12772 0.872834 Methylated Normal 0
1:12778 0.871483 Methylated Normal 0
1:12781 0.870799 Methylated Normal 0
1:12806 0.864898 Methylated Normal 0
1:12866 0.849275 Methylated Normal 0
1:13078 0.781657 Methylated Normal 0
1:13215 0.737035 Methylated Normal 0
1:13282 0.718986 Methylated Normal 0
1:13301 0.71462 Methylated Normal 0
1:13416 0.69451 Methylated Normal 0
1:13502 0.684878 Methylated Normal 0
1:13527 0.682911 Methylated Normal 0
1:13536 0.682292 Methylated Normal 0
1:13643 0.678409 Methylated Normal 0
1:13666 0.678369 Methylated Normal 0
1:13692 0.678641 Methylated Normal 0
1:13749 0.680353 Methylated Normal 0
1:13755 0.680618 Methylated Normal 0
1:13822 0.684592 Methylated Normal 0
1:13827 0.68496 Methylated Normal 0
1:14061 0.710745 Methylated Normal 0
1:14178 0.72785 Methylated Normal 0
1:14348 0.755397 Methylated Normal 0
